img_name,cpuAct
Delaysrcnn813.png,Delay
SRraw234_srcnn_x9.png,Serial_Read
SRraw1234_srcnn_x9.png,Serial_Read
AESraw303_srcnn_x9.png,AES_encrypt
SMsrcnn1389.png,Sleep_Mode
WLsrcnn597.png,Word_List
RSAraw1201_srcnn_x9.png,RSA_encrypt
AWsrcnn201.png,Analog_Write
SBMsrcnn278.png,Stand_By_Mode
AWraw590_srcnn_x9.png,Analog_Write
SMsrcnn837.png,Sleep_Mode
SMsrcnn1342.png,Sleep_Mode
SWsrcnn604.png,Serial_Write
SMsrcnn543.png,Sleep_Mode
BFsrcnn1201.png,Brute_Force
BFsrcnn697.png,Brute_Force
RSAraw654_srcnn_x9.png,RSA_encrypt
ARsrcnn862.png,Analog_Read
SWraw674_srcnn_x9.png,Serial_Write
RSAraw1568_srcnn_x9.png,RSA_encrypt
ARraw198_srcnn_x9.png,Analog_Read
ARraw488_srcnn_x9.png,Analog_Read
SBMsrcnn1252.png,Stand_By_Mode
RSAsrcnn468.png,RSA_encrypt
SBMraw337_srcnn_x9.png,Stand_By_Mode
SWsrcnn466.png,Serial_Write
WLraw537_srcnn_x9.png,Word_List
BFsrcnn146.png,Brute_Force
Delayraw681_srcnn_x9.png,Delay
AESraw306_srcnn_x9.png,AES_encrypt
SMsrcnn956.png,Sleep_Mode
AWraw60_srcnn_x9.png,Analog_Write
SBMraw882_srcnn_x9.png,Stand_By_Mode
SBMraw667_srcnn_x9.png,Stand_By_Mode
ARsrcnn361.png,Analog_Read
WLsrcnn425.png,Word_List
ARsrcnn1103.png,Analog_Read
Delaysrcnn102.png,Delay
SWraw1307_srcnn_x9.png,Serial_Write
SWsrcnn248.png,Serial_Write
WLraw1044_srcnn_x9.png,Word_List
SBMraw1585_srcnn_x9.png,Stand_By_Mode
Delaysrcnn763.png,Delay
SWsrcnn971.png,Serial_Write
AWsrcnn858.png,Analog_Write
BFraw1267_srcnn_x9.png,Brute_Force
ARraw164_srcnn_x9.png,Analog_Read
ARsrcnn27.png,Analog_Read
AESsrcnn1482.png,AES_encrypt
Delaysrcnn552.png,Delay
SBMraw1380_srcnn_x9.png,Stand_By_Mode
SWsrcnn451.png,Serial_Write
WLsrcnn1405.png,Word_List
AESsrcnn1139.png,AES_encrypt
SRsrcnn253.png,Serial_Read
BFsrcnn380.png,Brute_Force
SMraw296_srcnn_x9.png,Sleep_Mode
SWsrcnn132.png,Serial_Write
ARsrcnn586.png,Analog_Read
BFsrcnn1460.png,Brute_Force
AESsrcnn1470.png,AES_encrypt
ARsrcnn221.png,Analog_Read
SWsrcnn1076.png,Serial_Write
WLraw1196_srcnn_x9.png,Word_List
AESraw952_srcnn_x9.png,AES_encrypt
AESraw317_srcnn_x9.png,AES_encrypt
SRsrcnn556.png,Serial_Read
WLsrcnn1232.png,Word_List
Delaysrcnn129.png,Delay
ARraw1213_srcnn_x9.png,Analog_Read
WLraw1305_srcnn_x9.png,Word_List
ARsrcnn1578.png,Analog_Read
AESsrcnn1521.png,AES_encrypt
Delaysrcnn427.png,Delay
BFraw1310_srcnn_x9.png,Brute_Force
Delayraw519_srcnn_x9.png,Delay
SRsrcnn285.png,Serial_Read
SMsrcnn1335.png,Sleep_Mode
BFsrcnn56.png,Brute_Force
SRraw1401_srcnn_x9.png,Serial_Read
SWsrcnn1188.png,Serial_Write
AWsrcnn565.png,Analog_Write
SWraw1172_srcnn_x9.png,Serial_Write
Delayraw1120_srcnn_x9.png,Delay
Delaysrcnn199.png,Delay
AWsrcnn123.png,Analog_Write
SMsrcnn146.png,Sleep_Mode
WLraw1131_srcnn_x9.png,Word_List
ARsrcnn843.png,Analog_Read
ARraw1425_srcnn_x9.png,Analog_Read
Delaysrcnn899.png,Delay
RSAsrcnn1410.png,RSA_encrypt
SRsrcnn179.png,Serial_Read
SWraw689_srcnn_x9.png,Serial_Write
SWraw248_srcnn_x9.png,Serial_Write
Delaysrcnn1332.png,Delay
ARsrcnn1086.png,Analog_Read
SBMsrcnn1472.png,Stand_By_Mode
AWraw601_srcnn_x9.png,Analog_Write
SWsrcnn22.png,Serial_Write
AESraw1518_srcnn_x9.png,AES_encrypt
WLraw97_srcnn_x9.png,Word_List
SBMraw742_srcnn_x9.png,Stand_By_Mode
SBMraw398_srcnn_x9.png,Stand_By_Mode
BFsrcnn343.png,Brute_Force
WLsrcnn151.png,Word_List
SBMsrcnn441.png,Stand_By_Mode
WLsrcnn326.png,Word_List
WLraw995_srcnn_x9.png,Word_List
RSAraw256_srcnn_x9.png,RSA_encrypt
AESsrcnn656.png,AES_encrypt
Delayraw111_srcnn_x9.png,Delay
SRsrcnn1358.png,Serial_Read
BFraw1561_srcnn_x9.png,Brute_Force
SMraw874_srcnn_x9.png,Sleep_Mode
RSAsrcnn176.png,RSA_encrypt
Delayraw1234_srcnn_x9.png,Delay
SMraw1507_srcnn_x9.png,Sleep_Mode
SBMraw1405_srcnn_x9.png,Stand_By_Mode
WLraw411_srcnn_x9.png,Word_List
WLsrcnn1290.png,Word_List
SBMsrcnn1034.png,Stand_By_Mode
Delayraw483_srcnn_x9.png,Delay
SBMsrcnn1191.png,Stand_By_Mode
BFsrcnn746.png,Brute_Force
Delayraw1486_srcnn_x9.png,Delay
WLsrcnn825.png,Word_List
WLraw638_srcnn_x9.png,Word_List
SRraw969_srcnn_x9.png,Serial_Read
Delayraw714_srcnn_x9.png,Delay
ARsrcnn1242.png,Analog_Read
BFsrcnn809.png,Brute_Force
ARsrcnn128.png,Analog_Read
WLsrcnn1338.png,Word_List
SRraw344_srcnn_x9.png,Serial_Read
SBMsrcnn1057.png,Stand_By_Mode
Delaysrcnn470.png,Delay
WLsrcnn1100.png,Word_List
AESraw616_srcnn_x9.png,AES_encrypt
Delayraw282_srcnn_x9.png,Delay
AWsrcnn1094.png,Analog_Write
RSAsrcnn621.png,RSA_encrypt
WLraw342_srcnn_x9.png,Word_List
SMraw694_srcnn_x9.png,Sleep_Mode
SBMraw1148_srcnn_x9.png,Stand_By_Mode
AESsrcnn710.png,AES_encrypt
BFraw392_srcnn_x9.png,Brute_Force
AWraw1550_srcnn_x9.png,Analog_Write
BFraw174_srcnn_x9.png,Brute_Force
WLraw346_srcnn_x9.png,Word_List
SMraw242_srcnn_x9.png,Sleep_Mode
Delaysrcnn539.png,Delay
WLraw1318_srcnn_x9.png,Word_List
WLraw1366_srcnn_x9.png,Word_List
SRraw1269_srcnn_x9.png,Serial_Read
BFraw695_srcnn_x9.png,Brute_Force
BFraw908_srcnn_x9.png,Brute_Force
SMsrcnn363.png,Sleep_Mode
ARsrcnn531.png,Analog_Read
RSAsrcnn877.png,RSA_encrypt
SBMraw108_srcnn_x9.png,Stand_By_Mode
AWsrcnn609.png,Analog_Write
BFsrcnn1256.png,Brute_Force
SMraw878_srcnn_x9.png,Sleep_Mode
SBMsrcnn220.png,Stand_By_Mode
WLsrcnn325.png,Word_List
SRsrcnn1005.png,Serial_Read
SMraw1092_srcnn_x9.png,Sleep_Mode
BFraw157_srcnn_x9.png,Brute_Force
Delayraw324_srcnn_x9.png,Delay
RSAsrcnn889.png,RSA_encrypt
SBMraw825_srcnn_x9.png,Stand_By_Mode
SMraw1466_srcnn_x9.png,Sleep_Mode
ARraw144_srcnn_x9.png,Analog_Read
SRsrcnn159.png,Serial_Read
BFsrcnn177.png,Brute_Force
