image_path,cpuAct
/home/theos/Music/CNN_Final/in_data/SWsrcnn1597.png,Serial_Write
/home/theos/Music/CNN_Final/in_data/WLsrcnn334.png,Word_List
/home/theos/Music/CNN_Final/in_data/RSAraw1187_srcnn_x9.png,RSA_encrypt
/home/theos/Music/CNN_Final/in_data/WLraw1242_srcnn_x9.png,Word_List
/home/theos/Music/CNN_Final/in_data/SWraw22_srcnn_x9.png,Serial_Write
/home/theos/Music/CNN_Final/in_data/SMsrcnn1065.png,Sleep_Mode
/home/theos/Music/CNN_Final/in_data/AWraw459_srcnn_x9.png,Analog_Write
/home/theos/Music/CNN_Final/in_data/SBMraw1174_srcnn_x9.png,Stand_By_Mode
/home/theos/Music/CNN_Final/in_data/WLraw431_srcnn_x9.png,Word_List
/home/theos/Music/CNN_Final/in_data/ARsrcnn1015.png,Analog_Read
/home/theos/Music/CNN_Final/in_data/WLraw170_srcnn_x9.png,Word_List
/home/theos/Music/CNN_Final/in_data/BFsrcnn878.png,Brute_Force
/home/theos/Music/CNN_Final/in_data/ARraw487_srcnn_x9.png,Analog_Read
/home/theos/Music/CNN_Final/in_data/WLsrcnn709.png,Word_List
/home/theos/Music/CNN_Final/in_data/SBMsrcnn578.png,Stand_By_Mode
/home/theos/Music/CNN_Final/in_data/Delaysrcnn100.png,Delay
/home/theos/Music/CNN_Final/in_data/AWsrcnn90.png,Analog_Write
/home/theos/Music/CNN_Final/in_data/AWsrcnn1464.png,Analog_Write
/home/theos/Music/CNN_Final/in_data/AWraw1155_srcnn_x9.png,Analog_Write
/home/theos/Music/CNN_Final/in_data/ARraw283_srcnn_x9.png,Analog_Read
/home/theos/Music/CNN_Final/in_data/WLraw1480_srcnn_x9.png,Word_List
/home/theos/Music/CNN_Final/in_data/AWraw353_srcnn_x9.png,Analog_Write
/home/theos/Music/CNN_Final/in_data/ARsrcnn430.png,Analog_Read
/home/theos/Music/CNN_Final/in_data/AWsrcnn875.png,Analog_Write
/home/theos/Music/CNN_Final/in_data/SRsrcnn1516.png,Serial_Read
/home/theos/Music/CNN_Final/in_data/SWraw530_srcnn_x9.png,Serial_Write
